index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
46	0.293	101	22	-72.17903900146484	135	43	-295.10943603515625	1
47	0.293	76	14	-65.6975326538086	102	34	-219.66714477539062	1
48	0.293	67	14	-50.974021911621094	91	36	-214.0980224609375	0
49	0.293	44	10	-43.431724548339844	60	22	-162.40478515625	0
50	0.293	154	27	-128.63536071777344	202	75	-455.7664489746094	0
51	0.293	128	27	-70.73634338378906	172	61	-372.7745056152344	1
52	0.293	84	17	-67.94120788574219	110	38	-263.6639709472656	0
53	0.293	47	10	-37.4497184753418	63	23	-157.4388885498047	0
54	0.293	106	24	-65.10132598876953	142	51	-264.07958984375	0
55	0.293	72	17	-72.04989624023438	98	37	-225.50665283203125	1
56	0.293	120	21	-79.7622299194336	158	48	-318.3085021972656	0
57	0.293	156	27	-97.99906921386719	202	64	-374.54217529296875	1
58	0.293	144	28	-82.86515808105469	194	68	-394.4986267089844	1
59	0.293	140	25	-84.5462417602539	184	53	-359.3267822265625	1
60	0.293	65	13	-44.76487731933594	89	33	-219.329833984375	0
61	0.293	74	14	-50.877777099609375	98	35	-209.77780151367188	1
62	0.293	125	22	-101.94129943847656	161	53	-356.3486633300781	0
63	0.293	78	15	-59.99797821044922	100	30	-210.09906005859375	1
64	0.293	118	20	-86.06822967529297	152	49	-334.2081604003906	1
65	0.293	53	11	-31.878488540649414	73	28	-155.97035217285156	1
66	0.293	53	11	-38.72937774658203	73	26	-170.20481872558594	0
67	0.293	140	27	-86.46421813964844	188	62	-352.8069152832031	0
68	0.293	113	22	-75.18800354003906	149	49	-331.3473815917969	0
69	0.293	104	19	-89.46810913085938	140	51	-333.7340087890625	0
70	0.293	160	24	-79.36620330810547	200	61	-374.3164978027344	1
71	0.293	68	13	-57.288944244384766	90	28	-203.04026794433594	0
72	0.293	113	21	-91.37767791748047	151	52	-366.2406921386719	0
73	0.293	109	21	-99.0778579711914	141	47	-319.8825988769531	1
74	0.293	146	26	-117.63187408447266	192	58	-395.7778015136719	0
75	0.293	63	13	-51.76068878173828	87	30	-203.05804443359375	1
76	0.293	83	17	-72.48033142089844	115	44	-250.2528076171875	1
77	0.293	118	20	-90.80442810058594	150	44	-277.6264343261719	0
78	0.293	49	10	-43.10844802856445	65	25	-163.53378295898438	1
79	0.293	38	9	-29.130300521850586	54	21	-130.79116821289062	1
80	0.293	35	10	-38.84113311767578	51	22	-109.08621215820312	1
81	0.293	56	9	-55.68692398071289	70	22	-178.3843994140625	0
82	0.293	164	29	-101.61489868164062	220	72	-384.8630065917969	0
83	0.293	158	28	-127.58648681640625	204	65	-415.76751708984375	0
84	0.293	51	10	-49.24087905883789	67	22	-176.0819549560547	0
85	0.293	82	17	-114.53662109375	108	36	-251.20758056640625	0
86	0.293	62	13	-42.88875961303711	86	32	-197.93939208984375	0
87	0.293	97	16	-76.33981323242188	125	40	-259.9891052246094	1
88	0.293	116	25	-98.60811614990234	156	51	-318.81402587890625	0
89	0.293	48	12	-69.34771728515625	68	27	-194.32521057128906	1
90	0.293	108	22	-96.334716796875	144	49	-330.05096435546875	0
91	0.293	44	11	-66.707275390625	62	23	-194.61183166503906	0
92	0.293	172	33	-120.14082336425781	234	75	-410.54937744140625	1
93	0.293	66	17	-73.50143432617188	94	38	-222.76434326171875	0
94	0.293	49	13	-73.24295043945312	69	25	-198.98793029785156	1
95	0.293	49	11	-69.4598159790039	63	23	-209.07997131347656	1
96	0.293	46	11	-64.25267028808594	62	23	-189.96405029296875	1
97	0.293	55	13	-67.91451263427734	75	29	-210.0048370361328	1
98	0.293	112	25	-95.81402587890625	154	55	-387.9106750488281	0
99	0.293	65	16	-96.91814422607422	87	33	-250.42291259765625	1
0	0.427	48	11	-33.24964904785156	68	24	-166.521484375	0
1	0.427	52	11	-36.92516326904297	70	27	-187.87327575683594	0
2	0.427	65	15	-49.96806335449219	96	34	-234.36708068847656	0
3	0.427	35	12	-31.822059631347656	53	21	-150.6323699951172	1
4	0.427	46	10	-46.22163009643555	63	21	-169.43801879882812	1
5	0.427	63	12	-37.50990295410156	84	30	-211.48342895507812	0
6	0.427	93	19	-60.198726654052734	131	43	-296.2776184082031	0
7	0.427	60	12	-47.809242248535156	84	27	-223.9612274169922	0
8	0.427	64	11	-32.82652282714844	85	27	-211.56472778320312	1
9	0.427	69	15	-38.105186462402344	103	34	-231.2188720703125	0
10	0.427	83	17	-48.80938720703125	117	37	-250.50177001953125	0
11	0.427	65	13	-40.33456039428711	95	27	-218.85000610351562	0
12	0.427	70	11	-41.83315658569336	95	25	-183.15185546875	0
13	0.427	65	12	-39.568504333496094	89	31	-234.73081970214844	1
14	0.427	74	17	-51.869380950927734	112	37	-238.14149475097656	0
15	0.427	66	12	-33.886878967285156	90	28	-213.45651245117188	0
16	0.427	54	10	-37.58489990234375	73	27	-206.79246520996094	1
17	0.427	83	18	-62.354217529296875	122	36	-241.25137329101562	0
18	0.427	91	20	-54.796051025390625	129	44	-296.1661682128906	0
19	0.427	56	14	-41.927371978759766	85	32	-188.8987274169922	1
20	0.427	146	31	-89.6435546875	210	71	-447.6808776855469	0
21	0.427	29	8	-50.408836364746094	44	16	-132.5828399658203	1
22	0.427	97	24	-55.04576110839844	142	56	-338.07269287109375	1
23	0.427	82	17	-52.557621002197266	115	45	-274.8669738769531	0
24	0.427	114	17	-69.44212341308594	149	50	-349.8056945800781	0
25	0.427	63	13	-56.95818328857422	89	28	-200.32144165039062	0
26	0.427	160	29	-70.51445770263672	218	67	-407.17138671875	0
27	0.427	69	13	-48.51970672607422	97	32	-243.22007751464844	1
28	0.427	57	12	-37.52216720581055	81	29	-200.93142700195312	0
29	0.427	167	33	-113.69154357910156	234	80	-446.575927734375	0
30	0.427	85	17	-54.423858642578125	121	39	-270.59039306640625	0
31	0.427	151	31	-98.03010559082031	217	74	-455.4593200683594	0
32	0.427	141	26	-88.79310607910156	195	64	-396.5393371582031	0
33	0.427	138	29	-88.97505950927734	196	67	-408.0785827636719	0
34	0.427	60	10	-42.79570007324219	80	25	-199.1001434326172	1
35	0.427	87	19	-57.8482780456543	129	41	-265.7216796875	1
36	0.427	49	10	-45.79396057128906	68	20	-171.90789794921875	1
37	0.427	90	20	-65.83548736572266	128	46	-305.6885070800781	0
38	0.427	68	16	-47.786643981933594	97	36	-244.8745880126953	0
39	0.427	72	16	-64.2737808227539	102	35	-262.1371154785156	0
40	0.427	116	21	-71.89198303222656	160	51	-344.9375915527344	0
41	0.427	143	25	-88.74264526367188	199	61	-431.9632568359375	0
42	0.427	148	31	-109.70048522949219	210	71	-411.5119934082031	1
43	0.427	66	14	-42.131256103515625	94	33	-230.01968383789062	0
44	0.427	62	15	-57.41542053222656	95	35	-215.2357940673828	1
45	0.427	108	20	-74.63162231445312	148	51	-327.4516906738281	1
